rating,avg_score
PG-13 - Teens 13 or older,7.39
PG-13 - Teens 13 or older,5.58
PG-13 - Teens 13 or older,6.22
PG-13 - Teens 13 or older,7.11
PG-13 - Teens 13 or older,7.59
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.08
PG-13 - Teens 13 or older,5.75
PG-13 - Teens 13 or older,5.87
PG-13 - Teens 13 or older,6.98
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.22
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.28
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.62
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.19
PG-13 - Teens 13 or older,7.14
PG-13 - Teens 13 or older,5.09
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.16
PG-13 - Teens 13 or older,7.0
PG-13 - Teens 13 or older,5.91
PG-13 - Teens 13 or older,6.51
PG-13 - Teens 13 or older,7.42
PG-13 - Teens 13 or older,7.14
PG-13 - Teens 13 or older,5.79
PG-13 - Teens 13 or older,6.26
PG-13 - Teens 13 or older,8.11
PG-13 - Teens 13 or older,5.6
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.84
PG-13 - Teens 13 or older,6.96
PG-13 - Teens 13 or older,7.99
PG-13 - Teens 13 or older,5.95
PG-13 - Teens 13 or older,6.14
PG-13 - Teens 13 or older,6.74
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.34
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.07
PG-13 - Teens 13 or older,7.57
PG-13 - Teens 13 or older,6.55
PG-13 - Teens 13 or older,4.99
PG-13 - Teens 13 or older,5.45
PG-13 - Teens 13 or older,5.97
PG-13 - Teens 13 or older,6.08
PG-13 - Teens 13 or older,7.55
PG-13 - Teens 13 or older,7.05
PG-13 - Teens 13 or older,5.79
PG-13 - Teens 13 or older,6.09
PG-13 - Teens 13 or older,5.59
PG-13 - Teens 13 or older,7.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.33
PG-13 - Teens 13 or older,6.0
PG-13 - Teens 13 or older,8.38
PG-13 - Teens 13 or older,5.69
PG-13 - Teens 13 or older,7.42
PG-13 - Teens 13 or older,5.24
PG-13 - Teens 13 or older,7.12
PG-13 - Teens 13 or older,7.64
PG-13 - Teens 13 or older,6.86
PG-13 - Teens 13 or older,7.35
PG-13 - Teens 13 or older,7.82
PG-13 - Teens 13 or older,7.15
PG-13 - Teens 13 or older,7.97
PG-13 - Teens 13 or older,7.98
PG-13 - Teens 13 or older,8.36
PG-13 - Teens 13 or older,6.55
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.7
PG-13 - Teens 13 or older,5.29
PG-13 - Teens 13 or older,6.08
PG-13 - Teens 13 or older,6.16
PG-13 - Teens 13 or older,6.79
PG-13 - Teens 13 or older,7.51
PG-13 - Teens 13 or older,6.44
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.1
PG-13 - Teens 13 or older,6.45
PG-13 - Teens 13 or older,7.23
PG-13 - Teens 13 or older,6.8
PG-13 - Teens 13 or older,6.73
PG-13 - Teens 13 or older,7.15
PG-13 - Teens 13 or older,7.36
PG-13 - Teens 13 or older,6.11
PG-13 - Teens 13 or older,6.29
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.47
PG-13 - Teens 13 or older,7.32
PG-13 - Teens 13 or older,6.04
PG-13 - Teens 13 or older,7.47
PG-13 - Teens 13 or older,7.97
PG-13 - Teens 13 or older,7.91
PG-13 - Teens 13 or older,5.6
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.75
PG-13 - Teens 13 or older,6.8
PG-13 - Teens 13 or older,5.65
PG-13 - Teens 13 or older,8.2
PG-13 - Teens 13 or older,6.24
PG-13 - Teens 13 or older,5.5
PG-13 - Teens 13 or older,6.51
PG-13 - Teens 13 or older,5.96
PG-13 - Teens 13 or older,7.22
PG-13 - Teens 13 or older,6.2
PG-13 - Teens 13 or older,6.32
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,7.29
PG-13 - Teens 13 or older,7.02
PG-13 - Teens 13 or older,7.59
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.87
PG-13 - Teens 13 or older,7.43
PG-13 - Teens 13 or older,6.84
PG-13 - Teens 13 or older,7.75
PG-13 - Teens 13 or older,6.83
PG-13 - Teens 13 or older,5.92
PG-13 - Teens 13 or older,6.1
PG-13 - Teens 13 or older,7.67
PG-13 - Teens 13 or older,5.4
PG-13 - Teens 13 or older,7.82
PG-13 - Teens 13 or older,4.84
PG-13 - Teens 13 or older,6.26
PG-13 - Teens 13 or older,5.7
PG-13 - Teens 13 or older,5.83
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,6.71
